thesis_registry_id,thesis_zdd_index,facts_count,permitted_cases_count,mean_vector_length,stdev_vector_length,thesis_decision_space_model_size,model_size_deviation_from_mean,model_size_abs_deviation_from_mean,model_size_zscore
352678,125,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
353700,126,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
353892,127,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
354119,128,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
358628,129,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
359660,130,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
360341,131,7,83,3.518072,1.391275,292,25.546053,25.546053,0.064659
360740,132,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
360742,133,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
361460,134,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
385312,135,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
385657,136,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
800677,137,7,83,3.518072,1.391275,292,25.546053,25.546053,0.064659
800681,138,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
801244,139,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
801247,140,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
804158,141,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
804320,142,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
804441,143,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
806970,144,8,70,3.157143,1.303682,221,-45.453947,45.453947,-0.115047
811551,145,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
812166,146,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
815363,147,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
2000627,148,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
2003880,149,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
2008083,12,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
2009239,13,7,45,2.955556,1.330679,133,-133.453947,133.453947,-0.337782
2011927,14,5,14,1.928571,1.071612,27,-239.453947,239.453947,-0.606075
2014858,15,7,77,2.974026,1.202782,229,-37.453947,37.453947,-0.094799
2014940,16,5,16,2,1.032796,32,-234.453947,234.453947,-0.59342
2016571,21,11,426,4.457746,1.458234,1899,1632.546053,1632.546053,4.132093
2017366,17,9,136,4.294118,1.772705,584,317.546053,317.546053,0.803732
2017539,18,6,19,2.894737,1.370107,55,-211.453947,211.453947,-0.535205
2017540,19,9,42,3.97619,1.854304,167,-99.453947,99.453947,-0.251725
2018505,20,9,96,3.916667,1.58723,376,109.546053,109.546053,0.277269
2020418,1,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
